usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
3716452,Eucalyptus leucoxylon subsp. megalocarpa Boland,Eucalyptus leucoxylon megalocarpa,SUBSPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus leucoxylon,6,7707728,220,690,5014,7493935,3177019,FALSE,Magnoliopsida,Eucalyptus leucoxylon subsp. megalocarpa,NA
3176524,Eucalyptus macrandra F.Muell. ex Benth.,Eucalyptus macrandra,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus macrandra,6,7707728,220,690,5014,7493935,3176524,FALSE,Magnoliopsida,Eucalyptus macrandra,NA
5418386,Corymbia maculata (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia maculata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Corymbia,Corymbia maculata,6,7707728,220,690,5014,3180424,5418386,FALSE,Magnoliopsida,Corymbia maculata,NA
3177207,Eucalyptus mannifera Mudie,Eucalyptus mannifera,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus mannifera,6,7707728,220,690,5014,7493935,3177207,FALSE,Magnoliopsida,Eucalyptus mannifera,NA
3177324,Eucalyptus megacornuta C.A.Gardner,Eucalyptus megacornuta,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus megacornuta,6,7707728,220,690,5014,7493935,3177324,FALSE,Magnoliopsida,Eucalyptus megacornuta,NA
3176794,Eucalyptus melliodora A.Cunn. ex Schauer,Eucalyptus melliodora,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus melliodora,6,7707728,220,690,5014,7493935,3176794,FALSE,Magnoliopsida,Eucalyptus melliodora,NA
3177229,Eucalyptus coolabah Blakely & Jacobs,Eucalyptus coolabah,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus coolabah,6,7707728,220,690,5014,7493935,3177229,FALSE,Magnoliopsida,Eucalyptus coolabah,NA
3176388,Eucalyptus nicholii Maiden & Blakely,Eucalyptus nicholii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus nicholii,6,7707728,220,690,5014,7493935,3176388,FALSE,Magnoliopsida,Eucalyptus nicholii,NA
5418458,Corymbia aparrerinja K.D.Hill & L.A.S.Johnson,Corymbia aparrerinja,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Corymbia,Corymbia aparrerinja,6,7707728,220,690,5014,3180424,5418458,FALSE,Magnoliopsida,Corymbia aparrerinja,NA
3176368,Eucalyptus pauciflora Sieber ex Spreng.,Eucalyptus pauciflora,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,6,7707728,220,690,5014,7493935,3176368,FALSE,Magnoliopsida,Eucalyptus pauciflora,NA
