usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,verbatim_kingdom,tree_id,displayed_scientific_name,taxonomic_level
3799026,Lycianthes rantonnetii (Carrière ex Lesc.) Bitter,Lycianthes rantonnetii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Solanales,Solanaceae,Lycianthes,Lycianthes rantonnetii,6,7707728,220,1176,7717,2928971,3799026,FALSE,Magnoliopsida,Lycianthes rantonnetii,plants,1715,Lycianthes rantonnetii,species
3035681,Polyscias guilfoylei (W.Bull ex Cogn. & Marchal) Bailey,Polyscias guilfoylei,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Apiales,Araliaceae,Polyscias,Polyscias guilfoylei,6,7707728,220,1351,8800,3035574,3035681,FALSE,Magnoliopsida,Polyscias guilfoylei,plants,1716,Polyscias guilfoylei,species
5293072,Veitchia arecina Becc.,Veitchia arecina,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Arecales,Arecaceae,Veitchia,Veitchia arecina,6,7707728,196,552,7681,2731784,5293072,FALSE,Liliopsida,Veitchia arecina,plants,1720,Veitchia arecina,species
5380041,Ricinus communis L.,Ricinus communis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,6,7707728,220,1414,4691,9188216,5380041,FALSE,Magnoliopsida,Ricinus communis,plants,1721,Ricinus communis,species
2739274,Latania loddigesii Mart.,Latania loddigesii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Arecales,Arecaceae,Latania,Latania loddigesii,6,7707728,196,552,7681,2739273,2739274,FALSE,Liliopsida,Latania loddigesii,plants,1722,Latania loddigesii,species
2879537,Quercus ×ganderi C.B.Wolf,Quercus ganderi,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus ganderi,6,7707728,220,1354,4689,2877951,2879537,FALSE,Magnoliopsida,Quercus ×ganderi,plants,1727,Quercus &times ganderi,hybrid
3189882,Acer palmatum Thunb.,Acer palmatum,SPECIES,ACCEPTED,85,EXACT,Plantae,Tracheophyta,Sapindales,Sapindaceae,Acer,Acer palmatum,6,7707728,220,933,6657,3189834,3189882,FALSE,Magnoliopsida,Acer palmatum 'Suminagashi',plants,1728,Acer palmatum 'Suminagashi',horticulture
3767816,Acer japonicum Thunb.,Acer japonicum,SPECIES,ACCEPTED,88,EXACT,Plantae,Tracheophyta,Sapindales,Sapindaceae,Acer,Acer japonicum,6,7707728,220,933,6657,3189834,3767816,FALSE,Magnoliopsida,Acer japonicum 'Vitifolium',plants,1729,Acer japonicum 'Vitifolium',horticulture
3189846,Acer platanoides L.,Acer platanoides,SPECIES,ACCEPTED,88,EXACT,Plantae,Tracheophyta,Sapindales,Sapindaceae,Acer,Acer platanoides,6,7707728,220,933,6657,3189834,3189846,FALSE,Magnoliopsida,Acer platanoides 'Palmatifidum',plants,1730,Acer platanoides 'Palmatifidum',horticulture
7846556,Cornus controversa Hemsl.,Cornus controversa,SPECIES,ACCEPTED,87,EXACT,Plantae,Tracheophyta,Cornales,Cornaceae,Cornus,Cornus controversa,6,7707728,220,949,6713,3082226,7846556,FALSE,Magnoliopsida,Cornus controversa 'Variegata',plants,1731,Cornus controversa 'Variegata',horticulture
3152583,Hibiscus syriacus L.,Hibiscus syriacus,SPECIES,ACCEPTED,88,EXACT,Plantae,Tracheophyta,Malvales,Malvaceae,Hibiscus,Hibiscus syriacus,6,7707728,220,941,6685,3152542,3152583,FALSE,Magnoliopsida,Hibiscus syriacus 'Double-Purple',plants,1733,Hibiscus syriacus 'Double-Purple',horticulture
3022668,Prunus virginiana L.,Prunus virginiana,SPECIES,ACCEPTED,85,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Prunus,Prunus virginiana,6,7707728,220,691,5015,3020559,3022668,FALSE,Magnoliopsida,Prunus virginiana 'Canada Red',plants,1734,Prunus virginiana 'Canada Red',horticulture
