scientific_name,tree_id,common_name,status,selectree_url
Ulmus parvifolia 'Allee',1531,Allee CHINESE ELM,Existing,https://selectree.calpoly.edu/tree-detail/1531
Alnus incana,1534,GRAY ALDER,Existing,https://selectree.calpoly.edu/tree-detail/1534
Arctostaphylos glauca,1535,BIGBERRY MANZANITA,Existing,https://selectree.calpoly.edu/tree-detail/1535
Acer monspessulanum,1537,MONTPELLIER MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/1537
Adenostoma sparsifolium,1539,RED SHANKS,Existing,https://selectree.calpoly.edu/tree-detail/1539
Arctostaphylos manzanita,1540,COMMON MANZANITA,Existing,https://selectree.calpoly.edu/tree-detail/1540
Bursera microphylla,1542,LITTLELEAF ELEPHANT TREE,Existing,https://selectree.calpoly.edu/tree-detail/1542
Carnegiea gigantea,1543,SAGUARO CACTUS,Existing,https://selectree.calpoly.edu/tree-detail/1543
Chrysolepis chrysophylla,1544,CHINQUAPIN,Existing,https://selectree.calpoly.edu/tree-detail/1544
Cornus sessilis,1545,BLACKFRUIT DOGWOOD,Existing,https://selectree.calpoly.edu/tree-detail/1545
Eucalyptus diversicolor,1547,KARRI,Existing,https://selectree.calpoly.edu/tree-detail/1547
Eucalyptus kruseana,1548,BOOK LEAF MALLEE,Existing,https://selectree.calpoly.edu/tree-detail/1548
Eucalyptus neglecta,1549,OMEO GUM,Existing,https://selectree.calpoly.edu/tree-detail/1549
Hesperocyparis bakeri,1550,BAKER CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1550
Hesperocyparis goveniana,1551,GOWEN CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1551
Hesperocyparis guadalupensis,1552,GUADALUPE CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1552
Hesperocyparis nevadensis,1553,PIUTE CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1553
Hesperocyparis pygmaea,1554,PIGMY CYPRESS,Existing,https://selectree.calpoly.edu/tree-detail/1554
